Condition,PID,Rating,Furniture,Layout
Furniture+Irregular,9,5,Furniture,Irregular
Furniture+Regular,9,3,Furniture,Regular
NoFurniture+Irregular,9,1,NoFurniture,Irregular
NoFurniture+Regular,9,2,NoFurniture,Regular
Furniture+Irregular,10,4,Furniture,Irregular
Furniture+Regular,10,5,Furniture,Regular
NoFurniture+Irregular,10,1,NoFurniture,Irregular
NoFurniture+Regular,10,3,NoFurniture,Regular
Furniture+Irregular,11,3,Furniture,Irregular
Furniture+Regular,11,4,Furniture,Regular
NoFurniture+Irregular,11,3,NoFurniture,Irregular
NoFurniture+Regular,11,4,NoFurniture,Regular
Furniture+Irregular,13,1,Furniture,Irregular
Furniture+Regular,13,4,Furniture,Regular
NoFurniture+Irregular,13,3,NoFurniture,Irregular
NoFurniture+Regular,13,3,NoFurniture,Regular
Furniture+Irregular,1,3,Furniture,Irregular
Furniture+Regular,1,5,Furniture,Regular
NoFurniture+Irregular,1,1,NoFurniture,Irregular
NoFurniture+Regular,1,2,NoFurniture,Regular
Furniture+Irregular,3,5,Furniture,Irregular
Furniture+Regular,3,4,Furniture,Regular
NoFurniture+Irregular,3,5,NoFurniture,Irregular
NoFurniture+Regular,3,4,NoFurniture,Regular
Furniture+Irregular,2,4,Furniture,Irregular
Furniture+Regular,2,5,Furniture,Regular
NoFurniture+Irregular,2,1,NoFurniture,Irregular
NoFurniture+Regular,2,1,NoFurniture,Regular
Furniture+Irregular,4,4,Furniture,Irregular
Furniture+Regular,4,4,Furniture,Regular
NoFurniture+Irregular,4,3,NoFurniture,Irregular
NoFurniture+Regular,4,2,NoFurniture,Regular
Furniture+Irregular,5,3,Furniture,Irregular
Furniture+Regular,5,3,Furniture,Regular
NoFurniture+Irregular,5,4,NoFurniture,Irregular
NoFurniture+Regular,5,4,NoFurniture,Regular
Furniture+Irregular,6,5,Furniture,Irregular
Furniture+Regular,6,5,Furniture,Regular
NoFurniture+Irregular,6,2,NoFurniture,Irregular
NoFurniture+Regular,6,1,NoFurniture,Regular
Furniture+Irregular,8,4,Furniture,Irregular
Furniture+Regular,8,4,Furniture,Regular
NoFurniture+Irregular,8,1,NoFurniture,Irregular
NoFurniture+Regular,8,1,NoFurniture,Regular
Furniture+Irregular,12,4,Furniture,Irregular
Furniture+Regular,12,3,Furniture,Regular
NoFurniture+Irregular,12,1,NoFurniture,Irregular
NoFurniture+Regular,12,2,NoFurniture,Regular
Furniture+Irregular,14,5,Furniture,Irregular
Furniture+Regular,14,4,Furniture,Regular
NoFurniture+Irregular,14,1,NoFurniture,Irregular
NoFurniture+Regular,14,2,NoFurniture,Regular
Furniture+Irregular,16,1,Furniture,Irregular
Furniture+Regular,16,2,Furniture,Regular
NoFurniture+Irregular,16,2,NoFurniture,Irregular
NoFurniture+Regular,16,5,NoFurniture,Regular
Furniture+Irregular,7,3,Furniture,Irregular
Furniture+Regular,7,4,Furniture,Regular
NoFurniture+Irregular,7,1,NoFurniture,Irregular
NoFurniture+Regular,7,5,NoFurniture,Regular
Furniture+Irregular,15,4,Furniture,Irregular
Furniture+Regular,15,4,Furniture,Regular
NoFurniture+Irregular,15,1,NoFurniture,Irregular
NoFurniture+Regular,15,1,NoFurniture,Regular
